{ad25a031-880b-4f88-ac12-82d6c52fbdea} event:/char/badeline/appear
{9c0db09c-d32a-4da1-8891-8d2888d67afb} event:/char/dialogue/DZ/sfx_support/phone_static_mom
{2704d0c8-db38-4a8f-83af-cce42fb27d1b} event:/char/dialogue/DZ/!!!_README
{2ecdd323-e914-4148-ac8d-36f1437f7910} event:/char/dialogue/DZ/alphy
{79d0babd-3cfa-44b2-b60d-dfcc5a279eaa} event:/char/dialogue/DZ/asgore
{7138ef30-e37f-4fb8-8285-103f805106e3} event:/char/dialogue/DZ/asriel
{cff60fae-7054-44ce-bb9d-02e9f1e5dcbf} event:/char/dialogue/DZ/asriel_god
{7c90b176-94e2-4b24-a3ca-d667565bbc40} event:/char/dialogue/DZ/badeline
{29da10e6-b220-4a39-81b4-0fbe11c63e0d} event:/char/dialogue/DZ/chara
{bdb6d5bb-d814-4435-839e-273787e4ff3a} event:/char/dialogue/DZ/defender
{e8557227-13c9-4cca-a3b3-15b2ec6730d9} event:/char/dialogue/DZ/els
{1c8c8759-578b-4414-85d2-880b28646509} event:/char/dialogue/DZ/ex
{67de9698-eb48-466c-b6da-c43328eecf9b} event:/char/dialogue/DZ/flowey
{42f00e3f-1f67-4e25-8cda-992f174ff0b4} event:/char/dialogue/DZ/granny
{2ed89cae-fc2a-4eb2-8dcc-4168e30bdbef} event:/char/dialogue/DZ/king
{f8878177-893a-47e9-81e8-391e5b628be8} event:/char/dialogue/DZ/kirby
{3a2a848d-7af6-4066-87e8-e2332bc12488} event:/char/dialogue/DZ/kirby_mirror
{a5ae6a23-b83c-443d-8380-f91512778f64} event:/char/dialogue/DZ/kirby_webcam
{6d4d9ea7-ce0f-4d24-8f53-0208f4e16d00} event:/char/dialogue/DZ/madeline
{ee105d0b-1def-4e97-b567-1c52419ae136} event:/char/dialogue/DZ/madeline_mirror
{a85460a6-f098-4158-98c3-e147375f99e3} event:/char/dialogue/DZ/magolor
{5f463aed-544a-4374-8f5a-933da23adbaa} event:/char/dialogue/DZ/mom
{9abad00c-725b-49f3-ac16-51e78c8c69cf} event:/char/dialogue/DZ/oshiro
{a2fd31ca-539b-485b-87a8-ea0871f6ae54} event:/char/dialogue/DZ/papyrus
{47ed97bf-466c-4b66-8806-dc9dbdc4a3c6} event:/char/dialogue/DZ/preist
{e60f4192-d0e6-4214-bc5e-75e34e8611d1} event:/char/dialogue/DZ/queen
{fad07993-121f-4782-b046-2d0c0bc347ae} event:/char/dialogue/DZ/ralsei
{550ea1eb-72a1-4503-9b67-f267ad2d198f} event:/char/dialogue/DZ/sans
{a09322f2-4450-4518-a553-21406017bae2} event:/char/dialogue/DZ/secret_character
{db62c49c-c5e3-4fd5-a814-0c1761b45188} event:/char/dialogue/DZ/spamton
{43c5461d-5b74-42fa-8bab-1712b95429b4} event:/char/dialogue/DZ/suzy
{43613ac9-eb7c-4b8f-b646-d7608a1c9826} event:/char/dialogue/DZ/tenna
{fe6c07e1-45b0-4099-bb5d-09d46e8cdc58} event:/char/dialogue/DZ/theo
{054fba5d-ea2b-409f-9074-f7eee1d227cc} event:/char/dialogue/DZ/theo_mirror
{09aa3dbf-a970-4985-b020-bf2b932190cf} event:/char/dialogue/DZ/theo_webcam
{7652b285-21ac-4685-9092-9c7048e3bb77} event:/char/dialogue/DZ/toriel
{187affac-2205-43ae-b7e8-8d2ed59401dc} event:/char/dialogue/DZ/undyne
{6877a222-9a4f-4bcf-b98c-eb46e27833bd} event:/char/dialogue/DZ/undyne_hyper
{b6f02ff8-67c8-449c-ab00-e003247402b6} event:/char/dialogue/DZ/waddledee
{9fdf9618-b47b-4427-bb22-4642a42296b9} event:/char/dialogue/sfx_support/phone_static_ex
{0793a2c4-4c0b-41de-8f60-cbaed147961b} event:/char/dialogue/sfx_support/phone_static_mom
{e27b3ab9-d6c9-4952-92bf-e652b98a9ed5} event:/char/dialogue/!!!_README
{aba9f19a-b015-4dfa-ab6a-c1c34385e6e9} event:/char/dialogue/badeline
{0d2b6a74-2224-4d42-b4c1-275e02188e35} event:/char/dialogue/ex
{93dc35c9-2d7f-428b-a991-10a75e908831} event:/char/dialogue/granny
{6db7fffa-a9ef-4b37-8c16-6857785af731} event:/char/dialogue/madeline
{eb633670-e129-48ad-82cc-bc3b09203d6f} event:/char/dialogue/madeline_mirror
{9a3d146f-f39b-41f5-a269-890782e44fcc} event:/char/dialogue/mom
{94086ab9-c160-4468-b8f5-20d8c0df94f3} event:/char/dialogue/oshiro
{81a8f569-0320-45e8-a85d-f05fc73ab18a} event:/char/dialogue/secret_character
{e15162c0-8d07-4a4a-86b2-31a4143ef96c} event:/char/dialogue/theo
{06f37413-874a-4d3a-b325-e43d5835bded} event:/char/dialogue/theo_mirror
{b778a405-ac7f-440e-8754-aef888736b87} event:/char/dialogue/theo_webcam
{baf0c37e-6b25-4b7f-8bcf-653b7ffbb4a5} event:/char/granny/cane_tap
{e6fcb1bd-e802-4b86-ba6a-4d5b4f9d1d8e} event:/char/granny/laugh_firstphrase
{7d86252d-c88c-4317-865e-430792def883} event:/char/granny/laugh_oneha
{75ab6aef-3f69-4776-b60f-5700451cc9a2} event:/char/madeline/backpack_drop
{99373af6-beba-488d-b516-ff48fd95e8b8} event:/char/madeline/campfire_sit
{9435a742-7595-48a4-b2af-2757c4f927da} event:/char/madeline/campfire_stand
{9457c17c-688b-4701-b2ae-b89d821d54f7} event:/char/madeline/climb_ledge
{82f8448b-9452-4b12-838c-dcd81098476e} event:/char/madeline/core_hair_charged
{315ac151-5eb6-4e6b-b1b7-0531f3572c44} event:/char/madeline/crystaltheo_lift
{eb1249df-06cf-434d-991b-0b73464eef06} event:/char/madeline/crystaltheo_throw
{cb220baa-d2cb-4a87-9907-a6595dba6735} event:/char/madeline/dash_pink_left
{8ec31009-771f-4473-a3fc-45b209d6aa87} event:/char/madeline/dash_pink_right
{b9d3a7c5-3d49-4b8a-aad1-fcfaf87293af} event:/char/madeline/dash_red_left
{066cd550-a394-4bed-a4cf-c71905a160ed} event:/char/madeline/dash_red_right
{ae79fcef-d9b4-44c5-91e5-e0348229e9d5} event:/char/madeline/death
{06d7cbaf-9d9e-4f67-8adb-37a599dd4c37} event:/char/madeline/dreamblock_enter
{0a9527ad-360b-4cd2-b585-92b066720b34} event:/char/madeline/dreamblock_exit
{47bc2416-fd95-4a75-8952-7c43757e0e66} event:/char/madeline/dreamblock_travel
{0d6cb459-91af-4842-8d2b-0f0e103313ef} event:/char/madeline/duck
{73ada323-e77f-43f7-b0df-a8facdef03b7} event:/char/madeline/footstep
{8aa6ab7b-3104-4a06-8e7e-b1141ac0d23d} event:/char/madeline/grab
{0e0bb484-9840-47f8-a697-773134e4bedb} event:/char/madeline/grab_letgo
{7f8c23d1-bd9d-4a10-b8af-fd4a5cb12244} event:/char/madeline/handhold
{421fe5d0-9d4b-40a5-ab8e-23b1ec4bf1b3} event:/char/madeline/idle_crackknuckles
{852ea39f-c182-4385-9aa3-1d95cb02040b} event:/char/madeline/idle_scratch
{ae4aea88-f499-49e8-9536-78c4bad21743} event:/char/madeline/idle_sneeze
{eeede5f5-3691-4cd9-8b2c-91e02d3d41ed} event:/char/madeline/jump
{73ba5692-b6bd-4c78-a392-e41fa7425ead} event:/char/madeline/jump_assisted
{faac7cb1-bc6a-4e0d-8dc5-97f3c94363e6} event:/char/madeline/jump_climb_left
{1a77f0d4-81d8-4f97-bdf1-8e1e39cc69ef} event:/char/madeline/jump_climb_right
{5e5a1f06-5cf9-4daf-a7ed-3b36554dd44b} event:/char/madeline/jump_dreamblock
{25759b99-ad2a-4483-bb7e-0c4eac782c53} event:/char/madeline/jump_special
{4fc69f31-fc0f-42d3-af4c-20424c74d6a4} event:/char/madeline/jump_super
{8f5b7d80-8ca1-4415-942c-f1338b8a79f1} event:/char/madeline/jump_superslide
{67bb774a-41bd-4375-a4e7-53031c7f75cd} event:/char/madeline/jump_superwall
{f63c2b0a-f708-44f5-af13-6bba7e3af2cb} event:/char/madeline/jump_wall_left
{3b128250-55a7-4a1b-8d8e-edf325d80192} event:/char/madeline/jump_wall_right
{a7289b79-f525-4762-943e-98cf5c94151a} event:/char/madeline/landing
{60e29264-3711-498c-a7ed-c58ecefb5543} event:/char/madeline/mirrortemple_big_landing
{65659bc0-3d2b-429c-9bdc-42e7a2d29a94} event:/char/madeline/predeath
{14d582cb-0c50-4837-bcc5-e7e03ff23687} event:/char/madeline/revive
{73265a98-2cb3-4d98-9643-cf592c2b9131} event:/char/madeline/stand
{7d18d617-475b-4d12-ad45-885c619e7540} event:/char/madeline/summit_areastart
{72eb7f2d-c3e9-41b2-afc0-b4cfee087389} event:/char/madeline/summit_flytonext
{f5babe6c-1ec1-4d4e-8934-a1809b5e26cb} event:/char/madeline/summit_sit
{dae064c8-86f9-458b-83af-fbd8b699a3b9} event:/char/madeline/theo_collapse
{cad411d1-889d-4fb6-85e7-210db19d1e11} event:/char/madeline/wallslide
{cab0df89-b0d1-439c-8ac7-37db9d43e3a1} event:/char/madeline/water_dash_gen
{fb5d35c5-47c8-439d-8d52-ec6daf91887b} event:/char/madeline/water_dash_in
{5ce79651-4adc-4592-b018-38aa212d6ca6} event:/char/madeline/water_dash_out
{4016ea56-842c-4649-99c4-7057db18c835} event:/char/madeline/water_in
{5cf06f89-cf18-4dfa-bc69-5e4b58095cf3} event:/char/madeline/water_move_general
{7d656ffa-050f-4cab-bbc9-03863fa14e4f} event:/char/madeline/water_move_shallow
{3b90c629-7dcf-467b-a438-75e3287c8ae5} event:/char/madeline/water_out
{e1fec409-ace5-4006-8b7c-ccf9fbf1ac59} event:/char/oshiro/boss_charge
{05362357-0f1e-4f89-9d04-8a2778451a6c} event:/char/oshiro/boss_enter_screen
{f5fc7368-4f02-4479-a805-0efdff3633f6} event:/char/oshiro/boss_precharge
{28afe636-0afc-4a73-957d-fa53f6295250} event:/char/oshiro/boss_reform
{53cd822c-b7e1-4d50-8574-4fe404457747} event:/char/oshiro/boss_slam_final
{83376c6a-a014-418e-9e21-dbc48df90069} event:/char/oshiro/boss_slam_first
{945afadd-8b82-439d-a3d5-c70d53d8df96} event:/char/oshiro/boss_transform_begin
{6be863d8-6204-4f23-9f06-f90d6d7a8092} event:/char/oshiro/boss_transform_burst
{6dd647fe-eefd-43d7-8a35-5a614678dd12} event:/char/oshiro/chat_collapse
{2985ee63-eec3-4263-bf6d-71e332bfa805} event:/char/oshiro/chat_get_up
{c4fc63e7-6814-466a-9077-c90a82fc710e} event:/char/oshiro/chat_turn_left
{a5b71a3a-2b11-43d7-a6dc-c2fc90d9d07e} event:/char/oshiro/chat_turn_right
{7714e509-b855-47b0-b57b-3b7d803c5652} event:/char/oshiro/move_01_0xa_exit
{4f200dab-f854-4ed1-8e93-b736211791d5} event:/char/oshiro/move_02_03a_exit
{ecd941b2-7246-49f9-ad46-dd6eee981bd5} event:/char/oshiro/move_03_08a_exit
{ce338380-a29d-461a-b661-267fa7acd32c} event:/char/oshiro/move_04_pace_left
{e2f5eac6-9d40-4bc5-bcaf-d14b6269354b} event:/char/oshiro/move_04_pace_right
{b6e13523-090a-44eb-aa4f-1a3c270c507f} event:/char/oshiro/move_05_09b_exit
{d63e2c8f-499c-4edc-a892-041ae47d5b96} event:/char/oshiro/move_06_04d_exit
{96c70110-4204-4456-b3ed-baf02ba4139a} event:/char/oshiro/move_07_roof00_enter
{dfc82939-d51a-4454-aedf-1b3c6d4cf986} event:/char/oshiro/move_08_roof07_exit
{56221566-2fd7-4b1a-99d7-6af227ab8398} event:/char/theo/phone_taps_loop
{f37cd8d3-4249-47ca-8243-28ae26cf7c5c} event:/char/theo/resort_ceilingvent_hey
{5220fbf8-61c9-4a15-8490-8571a7cfa54f} event:/char/theo/resort_ceilingvent_popoff
{d3ade5b6-5418-4d18-8ac3-b31f1f5a9581} event:/char/theo/resort_ceilingvent_seeya
{6fb99d9c-74ca-412d-b3b0-247b39a382df} event:/char/theo/resort_ceilingvent_shake
{30c6c5c3-bf5d-4cbe-b3ea-3ed4c1e2396e} event:/char/theo/resort_crawl
{757f9c8a-033b-4c8d-82d8-f415972efc8d} event:/char/theo/resort_standtocrawl
{56e5cd34-78ba-45b2-96f3-83fc95c7c8df} event:/char/theo/resort_vent_grab
{aeef3032-ca85-4ac7-9866-c04c15bb8ef3} event:/char/theo/resort_vent_rip
{3d4ee73d-0198-43a2-b1d4-7b98cb16944b} event:/char/theo/resort_vent_tug
{4b18a52d-d2ba-4f5c-9880-9b49a0179e72} event:/char/theo/resort_vent_tumble
{3e111712-ffe7-404b-8dfe-08b630014170} event:/char/theo/yolo_fist
{1220c5e3-9e68-4e3f-9731-37f8efeca4d5} event:/classic/!!!_README
{96db8ec4-31c6-45aa-ae05-0b73cd02a1ff} event:/classic/pico8_boot
{79038cb9-407b-4d35-892a-1ec71396a682} event:/classic/pico8_mus_00
{b7c9c3a9-c1bc-4a77-961e-b306f5b9c140} event:/classic/pico8_mus_01
{feac844d-0797-404b-a390-3ab8257a187c} event:/classic/pico8_mus_02
{7186f56e-2df7-42eb-9375-3b272fe60ce1} event:/classic/pico8_mus_03
{aaa40caf-ae3a-4f7e-a2b3-92c2ebe55df6} event:/classic/sfx0
{3e4da5d7-22bc-4a2a-975f-962d0b13ea30} event:/classic/sfx1
{6452fdae-f5bc-405a-95b0-ab1aeef0c504} event:/classic/sfx13
{a9262674-7b9d-4aea-8a57-84c2f26049b6} event:/classic/sfx14
{818fc44f-268e-48ff-8876-b8a64842b5ed} event:/classic/sfx15
{4d5e60c8-4be0-42c1-9f24-e5ebecd840eb} event:/classic/sfx16
{e52366bb-874d-4e52-97b0-5f84602ce96d} event:/classic/sfx2
{5956eda7-31c9-47f6-8b62-f8b488c879a5} event:/classic/sfx23
{21c14b80-cb2e-4f2e-8d1e-b8f3941b162c} event:/classic/sfx3
{14db4278-02a9-4513-9361-0e53d9da8811} event:/classic/sfx35
{4e545f69-79f2-4d28-950c-10cbb43e77e6} event:/classic/sfx37
{bbabbdbc-da20-42af-9c0d-0daa8299cc7f} event:/classic/sfx38
{09c2f490-6fc5-4d52-95e1-e873ff360487} event:/classic/sfx4
{4e2a357d-8a57-4ea6-8df5-b9411495dfd6} event:/classic/sfx5
{606bd67d-d92a-46f0-a2e1-0a95ea23bfef} event:/classic/sfx51
{6ccb266f-2044-41dc-88bd-55d20f34627a} event:/classic/sfx54
{55989b60-f060-4a18-87cc-0d1ad5428801} event:/classic/sfx55
{c2f12510-a65f-4fe6-b8c2-d6dafd0bd33d} event:/classic/sfx6
{52df708d-a28a-46e8-bf24-a7516b8d6960} event:/classic/sfx61
{e489d78b-10c5-47e7-9ad5-bee84ab5df55} event:/classic/sfx62
{99e37b23-955b-4b57-8297-e5c24a7618ee} event:/classic/sfx7
{a0206dfc-61d3-447f-ac45-dbcaeeb2babf} event:/classic/sfx8
{94844611-3d78-4843-bef4-5a7fb9cd3930} event:/classic/sfx9
{cd9d8303-2a22-49f0-98c0-398d09b18be7} event:/DZ/char/badeline/appear
{9c6055c2-7ea9-4f2f-8399-11b0183ba841} event:/DZ/char/badeline/booster_begin
{285fc69d-f92f-474c-9687-2469528dbcf8} event:/DZ/char/badeline/booster_final
{b906469a-d1a6-4038-9dcb-7efe2c815dd4} event:/DZ/char/badeline/booster_reappear
{b5104af6-af51-4dce-bf44-3001824510d2} event:/DZ/char/badeline/booster_relocate
{90bfda04-472a-4bb6-b363-a958c0e6f00a} event:/DZ/char/badeline/booster_throw
{798c6fc7-8dd0-4ccb-bb79-1e21540909c8} event:/DZ/char/badeline/boss_bullet
{97f0e410-1123-4ea1-8d8a-7faf0cd13e1d} event:/DZ/char/badeline/boss_hug
{2a8e0af8-8942-4d99-bba0-69e8b6b9f0cd} event:/DZ/char/badeline/boss_idle_air
{d7feda4c-0d43-4bdb-8431-24d0b49632a9} event:/DZ/char/badeline/boss_laser_charge
{73478e88-e1ff-4c9b-a457-00bb4009b962} event:/DZ/char/badeline/boss_laser_fire
{525611ab-630f-43f0-a83e-06476e8dcd92} event:/DZ/char/badeline/boss_prefight_getup
{dbb8f5b4-79d6-4b37-90be-b72f174f34c1} event:/DZ/char/badeline/climb_ledge
{91d74269-8fac-42c0-a095-62c3fe8d67d3} event:/DZ/char/badeline/dash_red_left
{7867cecb-ba2f-4d7b-9897-005854545c0a} event:/DZ/char/badeline/dash_red_right
{af4f37ab-d517-4318-8db9-9c40270fa8d2} event:/DZ/char/badeline/disappear
{4a6a0436-d6e2-4bfe-ac76-b9f80d4c93fd} event:/DZ/char/badeline/dreamblock_enter
{3002ead0-f271-4969-9b5c-aa993388e5fd} event:/DZ/char/badeline/dreamblock_exit
{767e217a-6a08-4518-a53a-9318d4081fc5} event:/DZ/char/badeline/dreamblock_travel
{4bf39803-eaef-4bbd-8c54-18f4ca18db8f} event:/DZ/char/badeline/duck
{bf2e269a-ab1d-45c4-9d6f-d467cb5e98e3} event:/DZ/char/badeline/footstep
{3c3b43e9-b591-489f-8703-f4263ba75433} event:/DZ/char/badeline/grab
{121ae7a3-8b73-442d-a687-f820967d62d2} event:/DZ/char/badeline/grab_letgo
{964c279c-88b5-41b8-b35d-6872c512b221} event:/DZ/char/badeline/handhold
{76646320-100c-4e77-9b70-65fafea08ad6} event:/DZ/char/badeline/jump
{468b7b70-18f2-4227-b80f-97f33204a1b2} event:/DZ/char/badeline/jump_assisted
{a9d6327f-8c94-4d67-a44d-4eb65543ca0e} event:/DZ/char/badeline/jump_climb_left
{adfd7d79-0fb6-4a4e-b1a6-8caf92c1d1ec} event:/DZ/char/badeline/jump_climb_right
{a550aaf0-313f-4094-b466-e50b96d534b4} event:/DZ/char/badeline/jump_dreamblock
{f54a1503-2d28-44c2-ac17-9efb90253eaf} event:/DZ/char/badeline/jump_special
{dedf536c-0dd5-4a60-8d4e-1f015ea90363} event:/DZ/char/badeline/jump_super
{376abb49-2113-47a8-a04a-2afe2bfcb0fb} event:/DZ/char/badeline/jump_superslide
{8133316b-c773-4cd9-8bae-e54439b5ab07} event:/DZ/char/badeline/jump_superwall
{c5cb3b5b-6564-4464-b60a-0a2a2dedb2d4} event:/DZ/char/badeline/jump_wall_left
{5928e847-ed44-4d90-bd41-3e4c452b6188} event:/DZ/char/badeline/jump_wall_right
{3d7d832b-68ed-49b5-a233-3ec7af833b9a} event:/DZ/char/badeline/landing
{637d3574-ff47-4096-8275-9c26d230e1eb} event:/DZ/char/badeline/level_entry
{5d74d6e0-9c3d-472d-9b80-8f6f8f102a18} event:/DZ/char/badeline/maddy_join
{f80c320e-57cc-4bdc-ad44-551356343dfe} event:/DZ/char/badeline/maddy_split
{f6b1ee1d-231c-4b4a-bce6-069b28752a5a} event:/DZ/char/badeline/stand
{83aa57b0-a6eb-41a2-9936-b7b8173bbbd1} event:/DZ/char/badeline/temple_move_chats
{7f28f3c5-835c-4980-a0aa-6aae8b3512d9} event:/DZ/char/badeline/temple_move_first
{b7ce61c2-58c5-4b13-ad6a-07dfa89af42c} event:/DZ/char/badeline/wallslide
{ca3d2b85-fda2-400e-b87b-ddf070fed2f4} event:/DZ/char/bosses/mid_boss/icespell
{eaf463f2-8d4a-450c-84ab-f627e68cf209} event:/DZ/char/bosses/mid_boss/intro_A
{fb3ef4e9-0ef0-4733-b606-b90acd2ac302} event:/DZ/char/bosses/mid_boss/intro_B
{f790f591-1007-4374-8d92-e0964492584d} event:/DZ/char/bosses/mid_boss/rolling
{6de96e6c-1fae-41f2-acc2-85b14d3e2914} event:/DZ/char/bosses/mid_boss/shield
{0059d5ab-1a9a-47dc-b451-656bc8dcb701} event:/DZ/char/bosses/mid_boss/snowgrave
{0d4a996c-7b56-49a6-a2fc-f44111a4f578} event:/DZ/char/bosses/mid_boss/spawn_summon
{1acade06-4676-4e6b-9e3c-988bc2e853d3} event:/DZ/char/bosses/mid_boss/sword_clash
{aa56c6bb-ebb5-4da2-99a8-bcf75524b616} event:/DZ/char/bosses/mkd/butterflyadsorb
{86ed90a9-2055-480a-a2d5-5c9ee8552bbf} event:/DZ/char/bosses/mkd/butterflytransform
{e2a428cb-5764-4654-9e61-7f716761e871} event:/DZ/char/bosses/mkd/butterflytransformbackground
{ebd91c79-8b3e-41c2-a6c8-0d11e718548f} event:/DZ/char/bosses/mkd/butterflytransformfinish
{26ef0a8d-5b21-459c-9116-2c14ecd0d070} event:/DZ/char/bosses/mkd/butterflytransformfinishbackground
{25290e62-425f-4121-865a-5e35d3784e90} event:/DZ/char/bosses/mkd/butterflytransformpitchdrop
{f8cc705b-9327-41a7-916f-e0e4e9f61888} event:/DZ/char/bosses/mkd/charging
{27931ac7-30b0-4681-9cfb-6f359319775d} event:/DZ/char/bosses/mkd/chargingready
{6d3f0c93-873b-415c-bcae-7738a9605f44} event:/DZ/char/bosses/mkd/defeat
{21dea647-8f5e-4beb-b7af-5109cdb52a43} event:/DZ/char/bosses/mkd/final_roar
{b980dba3-edd8-4039-b019-37f0f8a04f04} event:/DZ/char/bosses/mkd/flamegyser
{a682c194-1b5b-4bb6-a148-5c48667179c5} event:/DZ/char/bosses/mkd/flamegyserwithblacksmoke
{c790850e-cf68-4dcc-977b-3b6c5129ceb6} event:/DZ/char/bosses/mkd/footstep
{9457aa4d-9327-4fee-87f2-e6ecbb0ec5d2} event:/DZ/char/bosses/mkd/groundpound
{9e16c7e9-38ae-4b17-a2be-dfcfd6835256} event:/DZ/char/bosses/mkd/groundslash
{58c0a35f-9315-4ec5-b74a-dcbb8f8c8bbd} event:/DZ/char/bosses/mkd/heartadsorb
{9eacc9b1-48be-4fc2-83ee-6019d61aa5fa} event:/DZ/char/bosses/mkd/introintense
{943bff7e-ea97-455b-818e-8d6f27751129} event:/DZ/char/bosses/mkd/introland
{c3e661cb-b2b5-493a-b25e-3c32e18bff99} event:/DZ/char/bosses/mkd/intrometal
{688e2b30-dcc5-4606-bc61-09eab81e9057} event:/DZ/char/bosses/mkd/intromorpho
{f31967a4-d352-46c2-83f5-695f6caead5d} event:/DZ/char/bosses/mkd/intromorphodelta
{2af8bd88-cf05-44fc-a1fc-4d6c59231b17} event:/DZ/char/bosses/mkd/morpholandedA
{04bddcf4-ab70-4ed8-87a3-5d6a2fc47bbe} event:/DZ/char/bosses/mkd/morpholandedB
{6cf66fd9-90d8-4297-ba5a-b2714d068adc} event:/DZ/char/bosses/mkd/New Event 3
{a0159d23-abc1-4840-ab5a-d554a6b5bf9c} event:/DZ/char/bosses/mkd/normalslash
{24033998-6b90-4073-b7fc-c2f359451559} event:/DZ/char/bosses/mkd/roar
{bd5170c1-de0e-4ce0-9f51-1f94d3fab2dc} event:/DZ/char/bosses/mkd/scifi_amb
{30d5b77d-2eaf-44cd-9592-822ca17e7537} event:/DZ/char/bosses/mkd/slash
{65b3339d-bcca-446a-951a-ace9f1d9da05} event:/DZ/char/bosses/mkd/soar
{8ce030ec-53c6-4839-a1d8-bc74054de2bd} event:/DZ/char/bosses/mkd/soar_fly
{9e943cd2-3126-4310-981c-ea5fc5a1f878} event:/DZ/char/bosses/mkd/stepback
{09abce34-6de9-411c-8731-b8a73153e975} event:/DZ/char/bosses/mkd/stepforward
{a957caa7-298b-42be-a23c-cc57b94c839d} event:/DZ/char/bosses/mkd/summon
{d032cb77-a2df-4826-ab28-db7e2df0cc63} event:/DZ/char/bosses/mkd/ultraslash
{c6113636-4b6f-4e0d-96bd-730956ea7993} event:/DZ/char/bosses/mkd/ultrasword
{4e48a898-5e7b-4bc8-940e-24ee01abf746} event:/DZ/char/bosses/mkd/vanishA
{92787f2e-5a6b-48e7-be9f-cd29372453d8} event:/DZ/char/bosses/mkd/vanishB
{86f1f0c9-996a-4b53-8135-fff6e0543d87} event:/DZ/char/bosses/mkd/vanishC
